Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID	Genome	Last_Change	MSL_of_Last_Change	Proposal_for_Last_Change_
3409	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus		Karimacvirus lukecage	ICTV202010146	dsDNA	Renamed,	40	2024.036B.Caudoviricetes_Faserviricetes_Name_Corrections.zip
3410	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus		Karimacvirus starplatinum	ICTV202010147	dsDNA	Renamed,	40	2024.036B.Caudoviricetes_Faserviricetes_Name_Corrections.zip
3411	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus		Karimacvirus wofford	ICTV202010149	dsDNA	Renamed,	40	2024.036B.Caudoviricetes_Faserviricetes_Name_Corrections.zip
3412	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Karimacvirus		Karimacvirus yaboi	ICTV202010148	dsDNA	Renamed,	40	2024.036B.Caudoviricetes_Faserviricetes_Name_Corrections.zip
3413	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus bmoc	ICTV202112977	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3414	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus braelyn	ICTV202112980	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3415	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus daubenski	ICTV202112976	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3416	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus egole	ICTV202112978	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3417	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus evy	ICTV202112979	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3418	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus jay2jay	ICTV201856783	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3419	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus mildred21	ICTV201856785	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3420	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus nootnoot	ICTV201856784	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3421	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus paradiddles	ICTV201856782	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3422	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus peebs	ICTV201856781	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3423	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Samistivirus		Samistivirus samisti12	ICTV201856780	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3424	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Boydwoodruffvirinae	Tomasvirus		Tomasvirus tomas	ICTV202214931	dsDNA	New,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3425	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Annadreamyvirus		Annadreamyvirus annadreamy	ICTV202009262	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3426	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Annadreamyvirus		Annadreamyvirus blueeyedbeauty	ICTV202009263	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3427	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Faustvirus		Faustvirus faust	ICTV202214933	dsDNA	New,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3428	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Faustvirus		Faustvirus tunatartare	ICTV202214934	dsDNA	New,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3429	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Gilsonvirus		Gilsonvirus comrade	ICTV202010042	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3430	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Gilsonvirus		Gilsonvirus gilson	ICTV202010041	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3431	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Wakandavirus		Wakandavirus muntaha	ICTV202214936	dsDNA	New,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3432	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Wakandavirus		Wakandavirus wakanda	ICTV202214935	dsDNA	New,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3433	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Stanwilliamsviridae	Loccivirinae	Wilnyevirus		Wilnyevirus billnye	ICTV201856797	dsDNA	Moved,	38	2022.085B.Stanwilliamsviridae_nf_2nsf_4ng_6nsp.zip
3434	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Suolaviridae		Pormufvirus		Pormufvirus salinum	ICTV202112173	dsDNA	Renamed,	39	2023.001A.Archaeal_binomials.zip
3435	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Toyamaviridae		Totsukavirus		Totsukavirus waseda	ICTV202319389	dsDNA	New,	39	2023.069B.Toyamaviridae_nf.zip
3436	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Toyamaviridae		Ushigomevirus		Ushigomevirus gakusyuin	ICTV202319387	dsDNA	New,	39	2023.069B.Toyamaviridae_nf.zip
3437	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Toyamaviridae		Wadatovirus		Wadatovirus soudai	ICTV202319388	dsDNA	New,	39	2023.069B.Toyamaviridae_nf.zip
3438	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Trautnerviridae	Polsinellivirinae	Rivavirus		Rivavirus rv000TH010	ICTV202420841	dsDNA	New,	40	2024.030B.Trautnerviridae_1nf_1nsf_3ng_6ns.zip
3439	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Trautnerviridae	Polsinellivirinae	Rivavirus		Rivavirus rv049ML001	ICTV202420842	dsDNA	New,	40	2024.030B.Trautnerviridae_1nf_1nsf_3ng_6ns.zip
3440	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Trautnerviridae	Polsinellivirinae	Rivavirus		Rivavirus SPP1	ICTV202420840	dsDNA	New,	40	2024.030B.Trautnerviridae_1nf_1nsf_3ng_6ns.zip
3441	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Trautnerviridae	Polsinellivirinae	Splendidredvirus		Splendidredvirus ray17	ICTV202420844	dsDNA	New,	40	2024.030B.Trautnerviridae_1nf_1nsf_3ng_6ns.zip
3442	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Trautnerviridae	Polsinellivirinae	Splendidredvirus		Splendidredvirus splendidred	ICTV202420843	dsDNA	New,	40	2024.030B.Trautnerviridae_1nf_1nsf_3ng_6ns.zip
3443	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Trautnerviridae		Prospektnaukivirus		Prospektnaukivirus sam112	ICTV202420845	dsDNA	New,	40	2024.030B.Trautnerviridae_1nf_1nsf_3ng_6ns.zip
3444	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus dochi	ICTV202319454	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3445	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus gosyo	ICTV202319455	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3446	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus koyama	ICTV202319456	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3447	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus kubo	ICTV202319457	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3448	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus midori	ICTV202319458	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3449	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus misono	ICTV202319463	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3450	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus ogoto	ICTV202319459	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3451	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus oki	ICTV202319460	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3452	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus yakushi	ICTV202319461	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3453	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Moriyavirus		Moriyavirus yuri	ICTV202319462	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3454	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus ajiki	ICTV202319409	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3455	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus akeshi	ICTV202319410	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3456	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus bouchi	ICTV202319411	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3457	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus furuku	ICTV202319416	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3458	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus hakke	ICTV202319412	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3459	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus hasaki	ICTV202319413	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3460	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus horage	ICTV202319414	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3461	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus hosomi	ICTV202319415	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3462	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus ikeda	ICTV202319417	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3463	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus isobe	ICTV202319418	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3464	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus izumi	ICTV202319419	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3465	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus kaname	ICTV202319420	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3466	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus konda	ICTV202319421	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3467	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus koya	ICTV202319422	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3468	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus koyama	ICTV202319423	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3469	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus maeno	ICTV202319424	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3470	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus mase	ICTV202319425	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3471	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus mimori	ICTV202319426	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3472	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus myojin	ICTV202319427	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3473	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus nakane	ICTV202319428	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3474	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus nishioi	ICTV202319429	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3475	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus nobata	ICTV202319430	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3476	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus numata	ICTV202319431	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3477	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus oda	ICTV202319432	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3478	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus oguki	ICTV202319433	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3479	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus ohi	ICTV202319434	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3480	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus osuna	ICTV202319435	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3481	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus ozawa	ICTV202319436	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3482	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus rokuto	ICTV202319437	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3483	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus sakae	ICTV202319438	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3484	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus sakura	ICTV202319439	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3485	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus shimana	ICTV202319440	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3486	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus sugama	ICTV202319441	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3487	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus suwa	ICTV202319442	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3488	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus takata	ICTV202319443	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3489	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus takura	ICTV202319444	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3490	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus tanaka	ICTV202319445	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3491	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus teragu	ICTV202319446	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3492	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus tsukuho	ICTV202319447	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3493	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus tushida	ICTV202319448	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3494	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus ueno	ICTV202319449	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3495	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus usui	ICTV202319450	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3496	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus wadai	ICTV202319451	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3497	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus wakaba	ICTV202319452	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3498	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Umezonoviridae		Namikivirus		Namikivirus yamaki	ICTV202319453	dsDNA	New,	39	2023.072B.Umezonoviridae_nf.zip
3499	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Dilongvirus		Dilongvirus PHB09	ICTV202318996	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3500	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Flaumdravirus		Flaumdravirus KIL2	ICTV201856824	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3501	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Flaumdravirus		Flaumdravirus KIL4	ICTV201856823	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3502	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Kremarvirus		Kremarvirus kremar	ICTV202318998	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3503	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Kremarvirus		Kremarvirus M51	ICTV202318999	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3504	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Kremarvirus		Kremarvirus VCM	ICTV201856855	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3505	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Omahavirus		Omahavirus UNOG1W1	ICTV202420858	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3506	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus PE09	ICTV202319008	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3507	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus PN09	ICTV202319009	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3508	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psa267	ICTV202319005	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3509	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psa300	ICTV202319006	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3510	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psa315	ICTV202319007	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3511	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psa347	ICTV202319004	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3512	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus Psa374	ICTV201856854	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3513	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psa381	ICTV202319003	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3514	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psa397	ICTV202319002	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3515	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psagek4	ICTV202319000	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3516	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Otagovirus		Otagovirus psagek4e	ICTV202319001	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3517	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Shenlongvirus		Shenlongvirus PPSC2	ICTV202318997	dsDNA	Moved,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3518	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Tartuvirus		Tartuvirus amme3	ICTV202420863	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3519	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Tartuvirus		Tartuvirus kopa4	ICTV202420865	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3520	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Tartuvirus		Tartuvirus nopa	ICTV202420864	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3521	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Tartuvirus		Tartuvirus roomu2	ICTV202420866	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3522	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Torinovirus		Torinovirus K7A1	ICTV202420859	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3523	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Uavernvirus		Uavernvirus uavern	ICTV202420862	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
3524	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Ventosusvirus		Ventosusvirus ventosus	ICTV202420861	dsDNA	New,	40	2024.037B.Vandenendeviridae_1nf_2msf_8ng_1mg_11ns.zip
